Name GeneNumber AllGenes_mean AllGenes_std AllGenes_min AllGenes_5pct AllGenes_25pct AllGenes_50pct AllGenes_75pct AllGenes_95pct AllGenes_max Class0_vs_Class1_mean Class0_vs_Class1_std Class0_vs_Class1_min Class0_vs_Class1_5pct Class0_vs_Class1_25pct Class0_vs_Class1_50pct Class0_vs_Class1_75pct Class0_vs_Class1_95pct Class0_vs_Class1_max Class0_vs_Class0_mean Class0_vs_Class0_std Class0_vs_Class0_min Class0_vs_Class0_5pct Class0_vs_Class0_25pct Class0_vs_Class0_50pct Class0_vs_Class0_75pct Class0_vs_Class0_95pct Class0_vs_Class0_max Class1_vs_Class1_mean Class1_vs_Class1_std Class1_vs_Class1_min Class1_vs_Class1_5pct Class1_vs_Class1_25pct Class1_vs_Class1_50pct Class1_vs_Class1_75pct Class1_vs_Class1_95pct Class1_vs_Class1_max diff50pct_Class1_vs_Class1-Class0_vs_Class0
go0000001_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 44 0.7534165547024844 0.23360651755413264 0.0222905285680147 0.2388809292155803 0.6540523703100167 0.8564826739112552 0.922806106026928 0.9636893922890339 0.9896162458939376 0.7565231985055516 0.23264571641640006 0.0283644868072197 0.2430047335726785 0.6621590288964198 0.8618416514043288 0.9229247967482888 0.9649772840120695 0.9896162458939376 0.7497015193102456 0.24423343148203602 0.0222905285680147 0.2190891674099075 0.6725263557365633 0.8551428257677156 0.921590279197638 0.9621449519515304 0.9787340958099932 0.7506224316502015 0.22553783942119468 0.1726920886248109 0.25241386198988736 0.6249136042273615 0.852951280294205 0.92054338553333 0.9557686823547382 0.983099110572938 -0.0021915454735106366
go0000002_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 70 0.9418771810299394 0.041323423437069864 0.7072187276586515 0.8598343423049197 0.9342507116513268 0.9553586593755756 0.9665832071928682 0.9770021158503783 0.9868261067668488 0.9414193290445425 0.04212127558469685 0.7072187276586515 0.8607133774803016 0.9342961653684811 0.9549571494714636 0.9664296486270716 0.977035009700283 0.9855023356676794 0.936145017238224 0.048396993972018014 0.7281871435379442 0.8188685728225724 0.9260326824040707 0.95404781365408 0.965986845255616 0.976333131800773 0.9868261067668488 0.9485519812621785 0.02938655989417678 0.8117251245132437 0.8846591013340002 0.9402638436135089 0.9577251599632924 0.9671932162778568 0.9772924988432357 0.9859417352299884 0.003677346309212459
go0000011_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 32 0.8529361755999066 0.14165472976494536 0.3152436704012123 0.5011199502356043 0.8243002385917286 0.9023714377981232 0.942143046774971 0.9696884621656259 0.9896663645331986 0.8541824815604749 0.1433485712475295 0.3152436704012123 0.49342342760878527 0.828514165793978 0.9075130150511416 0.9413352008701426 0.9662213340144173 0.9896663645331986 0.875997188696721 0.07578781732455646 0.6576772968198742 0.7174814200542697 0.815102716736587 0.8950064494161667 0.9401584137320581 0.9695144970344522 0.9789135594596556 0.8272163764538797 0.18023435705694824 0.3212095071191401 0.4237836869795776 0.817070632406 0.905392253369969 0.9446420299458478 0.9756088785770032 0.9862890976350878 0.010385803953802286
go0000022_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 22 0.9505126991807847 0.03066772054020044 0.8284687988664985 0.8850444232585127 0.9484302280633039 0.9599671821049656 0.9687615583459717 0.98190472646528 0.9880173316172036 0.9498301033634706 0.030597268792328842 0.871667792973316 0.8852780962159306 0.947331821100417 0.958282528748865 0.9691092307896546 0.9818775809667526 0.9874596932254116 0.9382016811835638 0.03884421885763582 0.8284687988664985 0.8828984010133191 0.8987554357592076 0.951128869886063 0.9716881672550224 0.9815109070338678 0.9880173316172036 0.9643254279760969 0.00817517957002399 0.9499175433607512 0.9531928473934194 0.9592413131919546 0.9635809685146024 0.967692818724829 0.9820310644745704 0.9852961015367904 0.012452098628539354
go0000027_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 72 0.7761264032208552 0.22981579228229354 0.0860642216190332 0.25137472125342586 0.669211069742891 0.8799545138749146 0.947347276821319 0.9868957253812695 0.9989105903268408 0.7643177106220476 0.23442223690041422 0.0860642216190332 0.23164183071855834 0.6536731920326188 0.8688156201746848 0.9411572120156727 0.9800236309985899 0.9954220530601858 0.7225451823832711 0.24909016681803628 0.0875489636188992 0.20849585779846624 0.5341756994268625 0.8271868924465975 0.9200707716271854 0.9665127531170575 0.9930868260983974 0.8539997916902722 0.17353132505684538 0.3503428025101815 0.4535869085087295 0.8216840934552652 0.9284611513264253 0.9682969500110836 0.9950381568468835 0.9989105903268408 0.10127425887982777
go0000028_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 26 0.8719452998191344 0.12941405453276703 0.4944284989527708 0.5949856339686422 0.7765427525035921 0.929145242364709 0.975187965623592 0.9914858128652491 0.9983457929568604 0.8596055165288842 0.12547876286159668 0.5219711764487912 0.5728787409065381 0.765378114285224 0.9109703550105116 0.9590862100009824 0.9891162305380458 0.996715542890201 0.7905854343446046 0.1306647116415966 0.4944284989527708 0.533856416774176 0.7069268606000468 0.808552754277274 0.9059020061676135 0.9578018727226261 0.9840034056089302 0.980041362422539 0.013044817856596962 0.9326650522999388 0.954198851725432 0.9746302799413314 0.9825731251378339 0.9896923453681364 0.9951799763302477 0.9983457929568604 0.17402037086055988
go0000032_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 20 0.9626822847606643 0.015352713020910343 0.8949966623547209 0.9373869045600562 0.9535959078982426 0.9648791477013747 0.974707986043469 0.9822706216298955 0.9874769785967138 0.9612365835542033 0.015196361447063588 0.918367097188869 0.9357621322659734 0.9524425029827159 0.9615712993718712 0.9737129556117222 0.9821295153817154 0.9857268141185132 0.9580697559977818 0.016283976297647277 0.8949966623547209 0.9297694286507502 0.9489416830305298 0.9638721425678832 0.96816900183451 0.9764605393994772 0.9810234709923628 0.9705074828712386 0.011771577109535993 0.938539556985425 0.95054445803474 0.960965187771755 0.9743248465443248 0.979724613144196 0.9849313271993831 0.9874769785967138 0.010452703976441602
go0000045_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 34 0.6804977357437101 0.26845496200613866 0.0472117473225618 0.1491781570031443 0.5080784397224813 0.7495260050123671 0.9138890919765992 0.9693461414723232 0.993964239570186 0.6845256313208821 0.2670802131708274 0.0472117473225618 0.15027661011409693 0.5080784397224813 0.7581909712971998 0.9125512875437936 0.970436725258049 0.9898286728384006 0.6683948249094672 0.2616842886738847 0.0902295937602161 0.1876172389011915 0.48140397579057304 0.7167293537599189 0.9289186437885991 0.9646414837416164 0.991706117692012 0.6840413684764629 0.27946522235938787 0.0767383445320922 0.10645617424810006 0.5555953815865945 0.7675404546190953 0.9063421013070209 0.9670039775776327 0.993964239570186 0.050811100859176395
go0000054_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 24 0.9049649099013488 0.07403609065011611 0.6358306503584893 0.7476536007610612 0.8796241019811697 0.9232059296164544 0.9592522654535938 0.9854231703355463 0.998631729338498 0.8949018928012986 0.07840282382105984 0.6358306503584893 0.7314558974488412 0.868001358645857 0.9131158203130452 0.9561945762323802 0.9762839268428746 0.9844200132946348 0.8811390438999567 0.07401488238333706 0.6789549683937742 0.7468601402111141 0.834678898822431 0.9011285814440233 0.9399261193030148 0.9690094352490559 0.9767792018918804 0.9507464495755775 0.03549292499792397 0.8720378501539415 0.9006689107939777 0.9238160417893182 0.9465533863926323 0.9851987606442689 0.995752242325908 0.998631729338498 0.04542480494860901
go0000055_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_sgd10c 62 0.8066000852160342 0.16749756511580183 0.2406577130293196 0.4412371345363796 0.7250730942722183 0.8741066297071829 0.9279135013031822 0.9753557885419324 0.9998084170866632 0.7987172551320332 0.16311403960485688 0.2406577130293196 0.4481464334311193 0.7154185506511143 0.8551392586798007 0.9157418743477048 0.9754702943519792 0.9978782488490788 0.8086527178098869 0.15068171855841928 0.3517186024646825 0.4827832289917737 0.7263684780523731 0.8693129926203128 0.9180640727792596 0.9688635284475562 0.9983430937004896 0.8208386347957841 0.19023448853602756 0.2496867305546531 0.40963253880347733 0.7384492072011352 0.9122638017638586 0.9495412398333156 0.9826456332876556 0.9998084170866632 0.042950809143545765
