Name GeneNumber AllGenes_mean AllGenes_std AllGenes_min AllGenes_5pct AllGenes_25pct AllGenes_50pct AllGenes_75pct AllGenes_95pct AllGenes_max Class0_vs_Class1_mean Class0_vs_Class1_std Class0_vs_Class1_min Class0_vs_Class1_5pct Class0_vs_Class1_25pct Class0_vs_Class1_50pct Class0_vs_Class1_75pct Class0_vs_Class1_95pct Class0_vs_Class1_max Class0_vs_Class0_mean Class0_vs_Class0_std Class0_vs_Class0_min Class0_vs_Class0_5pct Class0_vs_Class0_25pct Class0_vs_Class0_50pct Class0_vs_Class0_75pct Class0_vs_Class0_95pct Class0_vs_Class0_max Class1_vs_Class1_mean Class1_vs_Class1_std Class1_vs_Class1_min Class1_vs_Class1_5pct Class1_vs_Class1_25pct Class1_vs_Class1_50pct Class1_vs_Class1_75pct Class1_vs_Class1_95pct Class1_vs_Class1_max diff50pct_Class1_vs_Class1-Class0_vs_Class0
go0000001_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 44 0.9518633942181941 0.036885785243489275 0.7127789575869752 0.8718206448076307 0.9434245606496834 0.9629861820468495 0.9739374874123984 0.9844908374421929 0.9936612488983134 0.9524245284414644 0.03654369188740214 0.7501989076241019 0.8856928546803403 0.9460035815745176 0.9635688863999456 0.9738744952562165 0.984609651110715 0.9901102410579148 0.9520137278722941 0.04237536785572399 0.7127789575869752 0.8648080565204483 0.9490898813934361 0.9671927869917436 0.9745112911956474 0.9836819562251575 0.9900392901176326 0.9505373507629562 0.03142581078610081 0.8044520287057636 0.8818922983400548 0.9384732893381338 0.9558070734135444 0.9729148114270201 0.9849155636758149 0.9936612488983134 -0.011385713578199175
go0000002_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 70 0.9384866735777896 0.03635061084972289 0.6675363998143558 0.8675979103956473 0.9249096337214295 0.9496522918415826 0.9628020591520101 0.9747178846102111 0.9857145677974062 0.9381643329104196 0.03720744759531639 0.6675363998143558 0.8653935952675632 0.9243518545028891 0.9492420672439672 0.9629149094871396 0.9748146282855333 0.982908291866253 0.937308189231143 0.03638821662440695 0.7589533466571055 0.8649801330867206 0.9217880564200904 0.948590712246672 0.9621532668488397 0.9739027727000878 0.9857145677974062 0.9403288004749035 0.034470300856144595 0.7322922806966796 0.8757217414664683 0.9278151365002301 0.951168308765798 0.9629999132839654 0.9753229426743306 0.9836293052259272 0.0025775965191260353
go0000011_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 32 0.9627647115769972 0.019797413259207516 0.8713817642656148 0.9204370935851566 0.9539808996649799 0.9688226466953221 0.9765612395415597 0.9845567589304054 0.991001930545556 0.9632024791322419 0.01913962080582658 0.8878609690935786 0.9204370935851566 0.9549899956318366 0.9691409353453133 0.9767897930056585 0.9838169422545278 0.991001930545556 0.9662419404367301 0.014220503066072256 0.9091485171622476 0.9398049331631464 0.9588489297128624 0.9701760025892916 0.9759598873599991 0.9821902805819434 0.9858316143647486 0.9583535785994085 0.02471632902706143 0.8713817642656148 0.9135118430131999 0.950302906173454 0.9656643743133305 0.975688261702115 0.9847537932572915 0.9901893718169036 -0.004511628275961077
go0000022_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 22 0.9159934731248417 0.04721510307593721 0.7598457513729827 0.8281348840557727 0.889917159558982 0.9322580712261936 0.9516196932953425 0.9689532980753304 0.978669345346311 0.9149273677350402 0.046310202861114605 0.7598457513729827 0.827920801187871 0.8892814085552084 0.9295474267418564 0.9512072011878648 0.9689897384476172 0.9767727466862868 0.9053708291878914 0.0567772253650421 0.7680562290803222 0.802743481922132 0.8602080661344735 0.9239852491217232 0.9515834548387763 0.9706237234201516 0.978669345346311 0.9289615489193552 0.034881955098165204 0.8315858363410867 0.8565955128683777 0.911736977613038 0.9391580026698968 0.952163357636059 0.9664685898218867 0.9778649170521746 0.015172753548173601
go0000027_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 72 0.9524939689311328 0.030719742727513284 0.7839172857138313 0.8903982166848676 0.9392757586034983 0.9589853403824791 0.9743735913812969 0.9886527950825066 0.9958656248848942 0.9460132238854674 0.03296300547549825 0.7839172857138313 0.8800579180368902 0.9332936725368828 0.9541652015351374 0.9682861135370864 0.9813908393237237 0.990732869088474 0.9547742302884202 0.028272990535199077 0.8129699052697912 0.8978214257916592 0.9392910552822775 0.963450499367598 0.9761260236594247 0.9855431426979084 0.9923012096270832 0.9635455259535002 0.024142281958692967 0.8882095588782546 0.9143513473267545 0.9487176616526101 0.9688305992815069 0.980829749024007 0.993308011911379 0.9958656248848942 0.005380099913908976
go0000028_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 26 0.9603213171470035 0.02735484529609663 0.8892819911148993 0.8979553399009536 0.941350732330552 0.9660464481626851 0.9836832507191142 0.9930166018726557 0.9952966196537888 0.9481486596414281 0.027572247542725966 0.8892819911148993 0.8954438211595473 0.933056504295872 0.9491310055493288 0.9693037826489366 0.9900581223112829 0.9945822213053702 0.959307711150841 0.018403575157093743 0.8923647866835013 0.9274968266945076 0.9516254010256721 0.96503089055377 0.9725714268493175 0.979195287239461 0.9853529515123612 0.9877090144052462 0.008073763253983202 0.9615520077004828 0.9687751645630786 0.9878855180295297 0.9905690421461706 0.9924274646875842 0.994083042836522 0.9952966196537888 0.025538151592400582
go0000032_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 20 0.957278820379428 0.018406453887844863 0.8700432369327876 0.9190656529576031 0.9485164006103446 0.9619865433724201 0.9700744269921735 0.9777626284073048 0.9866891977892408 0.954553724821031 0.020579349288720024 0.8700432369327876 0.9174090621240957 0.9456690263850129 0.9591772923850224 0.9689420074284604 0.9776570442954751 0.983076549313858 0.9578236768537463 0.013929598857785358 0.9138768821245216 0.9290960484621915 0.9507162174823336 0.962274411906544 0.9669088017995356 0.9741226040928197 0.9788040672102248 0.962789731812658 0.016128158465345828 0.912873089884452 0.9316141901686507 0.9544985422056949 0.9676436718395904 0.9744822863499196 0.9806656913479527 0.9866891977892408 0.0053692599330464885
go0000045_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 34 0.9433532101820885 0.04532606451290959 0.7512377890051017 0.8395672311794705 0.931463070391553 0.9571589948660804 0.972710686876794 0.985138817966245 0.991494266580426 0.9426735913015934 0.04555168157380828 0.7512377890051017 0.8402866910260307 0.9296640306418738 0.9559570055351692 0.9731893884828328 0.9844927947128294 0.9914185703577038 0.941865256707817 0.047864515561250875 0.7576282710127722 0.8375134984921446 0.9305944293049213 0.9583443021870299 0.972740069024892 0.984148471057337 0.988614194177084 0.9462853537774114 0.042340376134589575 0.7828616457487653 0.8507030705805816 0.9336345266270802 0.959549614883514 0.9715417255762613 0.9875660643734901 0.991494266580426 0.001205312696484051
go0000054_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 24 0.9636336917129408 0.022301188061893105 0.866517574016213 0.9222547190761853 0.9561408347898722 0.96897457532569 0.9784088308801159 0.9892987604384268 0.9946804822108228 0.9546922586477523 0.02516500239129398 0.866517574016213 0.9001884029603584 0.9421850402265667 0.961104270326813 0.9739237474337982 0.9836239089329788 0.985664198584632 0.9698252182044407 0.013598396136280827 0.9285337612232106 0.9385534034298121 0.9636507939522179 0.9723013004732441 0.9788870111910785 0.9847551315340283 0.989928783437732 0.9769507464545796 0.01139743431808202 0.9542927846984904 0.9595157784332153 0.9675889714673398 0.9760906175460351 0.9870722959586508 0.9931323180207422 0.9946804822108228 0.003789317072790954
go0000055_aspectP_binary_pos1_neg0_negset1_knnimp_traintestimpseparate_perfbal_logsgd10c 62 0.9553525731536897 0.034116576132107196 0.7372307832922456 0.8885540527688045 0.9484298744927694 0.9644445497019694 0.9754089316127407 0.9849962697187153 0.9948795739989996 0.9522729373279303 0.03458163531881896 0.7438628360334789 0.8882765442182465 0.9454922925007349 0.960838461519678 0.9722023577810148 0.9840429939220862 0.9948795739989996 0.9477735980032932 0.042317014999454186 0.7372307832922456 0.8545014081702134 0.9385717073348696 0.9612046997941958 0.975361028475332 0.9844418251163283 0.9946826602879494 0.9692961290106554 0.014283510586774552 0.8859988857220154 0.944383590817002 0.9627067410663208 0.9720880668672855 0.979175137188843 0.9864231581919626 0.9948085223261356 0.010883367073089789
